Country,Latte Price,Exchange Rate,PPP Exchange Rate (USD),Currency Valuation
australia,6.88,1.58,1.4700854700854702,Undervalued
brazil,16.86,5.69,3.6025641025641026,Undervalued
canada,10.35,1.0,2.2115384615384617,Overvalued
chile,11684.62,949.59,2496.7136752136757,Overvalued
colombia,27400.0,4090.53,5854.700854700855,Overvalued
czech republic,165.0,24.02,35.256410256410255,Overvalued
finland,6.2,0.96,1.324786324786325,Overvalued
hungary,2190.0,383.81,467.94871794871796,Overvalued
italy,1.5,0.96,0.32051282051282054,Undervalued
mexico,92.41,20.28,19.745726495726498,Undervalued
poland,10.9,3.98,2.3290598290598292,Undervalued
south africa,48.0,18.42,10.256410256410257,Undervalued
united kingdom,3.36,0.79,0.717948717948718,Undervalued
united states,5.03,1.0,1.074786324786325,Overvalued
